run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	study_alias	experiment_alias	run_alias	fastq_ftp	sra_ftp	sample_alias	bam_ftp	bam_bytes
SRR19064356	SAMN28062052	SRX15135760	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP255	DP255_S253_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/056/SRR19064356/SRR19064356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/056/SRR19064356/SRR19064356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/056/SRR19064356	DP255		
SRR19064357	SAMN28062051	SRX15135759	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP254	DP254_S252_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064357/SRR19064357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064357/SRR19064357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/057/SRR19064357	DP254		
SRR19064360	SAMN28062049	SRX15135757	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP252	DP252_S250_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064360/SRR19064360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064360/SRR19064360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/060/SRR19064360	DP252		
SRR19064363	SAMN28062046	SRX15135754	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP246	DP246_S244_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19064363/SRR19064363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/063/SRR19064363/SRR19064363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/063/SRR19064363	DP246		
SRR19064366	SAMN28062043	SRX15135750	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP243	DP243_S241_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064366/SRR19064366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19064366/SRR19064366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/066/SRR19064366	DP243		
SRR19064368	SAMN28062042	SRX15135749	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP241	DP241_S239_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/068/SRR19064368/SRR19064368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/068/SRR19064368/SRR19064368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/068/SRR19064368	DP241		
SRR19064369	SAMN28062041	SRX15136204	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP240	DP240_S238_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064369/SRR19064369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19064369/SRR19064369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/069/SRR19064369	DP240		
SRR19064371	SAMN28061741	SRX15135746	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC156	DC156_S362_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/071/SRR19064371/SRR19064371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/071/SRR19064371/SRR19064371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/071/SRR19064371	DC156		
SRR19064376	SAMN28061737	SRX15135742	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC152	DC152_S358_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/076/SRR19064376/SRR19064376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/076/SRR19064376/SRR19064376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/076/SRR19064376	DC152		
SRR19064380	SAMN28061733	SRX15135737	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC148	DC148_S354_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/080/SRR19064380/SRR19064380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/080/SRR19064380/SRR19064380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/080/SRR19064380	DC148		
SRR19064381	SAMN28061735	SRX15135740	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC150	DC150_S356_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/081/SRR19064381/SRR19064381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/081/SRR19064381/SRR19064381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/081/SRR19064381	DC150		
SRR19064384	SAMN28061730	SRX15135734	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC141	DC141_S347_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064384/SRR19064384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064384/SRR19064384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/084/SRR19064384	DC141		
SRR19064386	SAMN28061727	SRX15135731	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC138	DC138_S344_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/086/SRR19064386/SRR19064386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/086/SRR19064386/SRR19064386_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/086/SRR19064386	DC138		
SRR19064388	SAMN28061725	SRX15135729	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC136	DC136_S342_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/088/SRR19064388/SRR19064388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/088/SRR19064388/SRR19064388_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/088/SRR19064388	DC136		
SRR19064390	SAMN28061724	SRX15135728	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC135	DC135_S341_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064390/SRR19064390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/090/SRR19064390/SRR19064390_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/090/SRR19064390	DC135		
SRR19064391	SAMN28061634	SRX15135665	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC015	DC015_S88_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064391/SRR19064391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/091/SRR19064391/SRR19064391_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/091/SRR19064391	DC015		
SRR19064392	SAMN28061944	SRX15135726	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP108	DP108_S107_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064392/SRR19064392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064392/SRR19064392_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/092/SRR19064392	DP108		
SRR19064394	SAMN28061942	SRX15135723	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP104	DP104_S103_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064394/SRR19064394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064394/SRR19064394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/094/SRR19064394	DP104		
SRR19064398	SAMN28061939	SRX15135720	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP100	DP100_S99_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064398/SRR19064398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064398/SRR19064398_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/098/SRR19064398	DP100		
SRR19064399	SAMN28061938	SRX15135719	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP098	DP098_S97_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064399/SRR19064399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064399/SRR19064399_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/099/SRR19064399	DP098		
SRR19064400	SAMN28061937	SRX15135718	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP096	DP096_S95_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064400/SRR19064400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064400/SRR19064400_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/000/SRR19064400	DP096		
SRR19064405	SAMN28061935	SRX15135716	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP094	DP094_S93_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064405/SRR19064405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/005/SRR19064405/SRR19064405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/005/SRR19064405	DP094		
SRR19064406	SAMN28061932	SRX15135712	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP090	DP090_S89_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064406/SRR19064406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064406/SRR19064406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/006/SRR19064406	DP090		
SRR19064407	SAMN28061931	SRX15135711	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP088	DP088_S87_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064407/SRR19064407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/007/SRR19064407/SRR19064407_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/007/SRR19064407	DP088		
SRR19064412	SAMN28061926	SRX15135933	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP082	DP082_S81_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064412/SRR19064412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064412/SRR19064412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/012/SRR19064412	DP082		
SRR19064413	SAMN28061907	SRX15135705	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP061	DP061_S61_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064413/SRR19064413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064413/SRR19064413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/013/SRR19064413	DP061		
SRR19064414	SAMN28061906	SRX15135704	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP060	DP060_S60_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/014/SRR19064414/SRR19064414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/014/SRR19064414/SRR19064414_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/014/SRR19064414	DP060		
SRR19064415	SAMN28061904	SRX15135702	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP057	DP057_S57_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064415/SRR19064415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064415/SRR19064415_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/015/SRR19064415	DP057		
SRR19064417	SAMN28061903	SRX15135700	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP055	DP055_S55_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064417/SRR19064417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064417/SRR19064417_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/017/SRR19064417	DP055		
SRR19064423	SAMN28061898	SRX15135695	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP049	DP049_S49_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/023/SRR19064423/SRR19064423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/023/SRR19064423/SRR19064423_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/023/SRR19064423	DP049		
SRR19064425	SAMN28061896	SRX15135693	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP047	DP047_S47_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064425/SRR19064425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064425/SRR19064425_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/025/SRR19064425	DP047		
SRR19064431	SAMN28061891	SRX15135687	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP041	DP041_S41_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064431/SRR19064431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064431/SRR19064431_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/031/SRR19064431	DP041		
SRR19064435	SAMN28061777	SRX15135682	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC201	DC201_UAB832_S92_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064435/SRR19064435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064435/SRR19064435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/035/SRR19064435	DC201		
SRR19064441	SAMN28061772	SRX15135676	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC195	DC195_UAB832_S87_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064441/SRR19064441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064441/SRR19064441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/041/SRR19064441	DC195		
SRR19064442	SAMN28061771	SRX15135675	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC194	DC194_UAB832_S86_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/042/SRR19064442/SRR19064442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/042/SRR19064442/SRR19064442_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/042/SRR19064442	DC194		
SRR19064449	SAMN28061764	SRX15135668	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC183	DC183_UAB832_S65_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064449/SRR19064449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064449/SRR19064449_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/049/SRR19064449	DC183		
SRR19064452	SAMN28061762	SRX15135872	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC179	DC179_UAB832_S62_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/052/SRR19064452/SRR19064452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/052/SRR19064452/SRR19064452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/052/SRR19064452	DC179		
SRR19064453	SAMN28061625	SRX15135664	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC003	DC003_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064453/SRR19064453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064453/SRR19064453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/053/SRR19064453	DC003		
SRR19064455	SAMN28062318	SRX15135661	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP607	DP607_UAB832_S23_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064455/SRR19064455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064455/SRR19064455_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/055/SRR19064455	DP607		
SRR19064457	SAMN28062316	SRX15135659	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP605	DP605_UAB832_S21_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064457/SRR19064457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064457/SRR19064457_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/057/SRR19064457	DP605		
SRR19064460	SAMN28061693	SRX15135656	PRJNA834801	408170	human gut metagenome	PRJNA834801	DC096	DC096_S303_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064460/SRR19064460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064460/SRR19064460_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/060/SRR19064460	DC096		
SRR19064464	SAMN28062310	SRX15135652	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP598	DP598_UAB832_S15_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/064/SRR19064464/SRR19064464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/064/SRR19064464/SRR19064464_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/064/SRR19064464	DP598		
SRR19064465	SAMN28062309	SRX15135651	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP597	DP597_UAB832_S14_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064465/SRR19064465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064465/SRR19064465_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/065/SRR19064465	DP597		
SRR19064473	SAMN28062302	SRX15135643	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP589	DP589_UAB832_S7_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/073/SRR19064473/SRR19064473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/073/SRR19064473/SRR19064473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/073/SRR19064473	DP589		
SRR19064475	SAMN28062263	SRX15135641	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP535	DP535_UAB832_S41_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/075/SRR19064475/SRR19064475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/075/SRR19064475/SRR19064475_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/075/SRR19064475	DP535		
SRR19064477	SAMN28062261	SRX15135639	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP532	DP532_UAB832_S39_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/077/SRR19064477/SRR19064477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/077/SRR19064477/SRR19064477_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/077/SRR19064477	DP532		
SRR19064478	SAMN28062260	SRX15135638	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP530	DP530_UAB832_S38_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/078/SRR19064478/SRR19064478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/078/SRR19064478/SRR19064478_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/078/SRR19064478	DP530		
SRR19064483	SAMN28062255	SRX15135633	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP524	DP524_UAB832_S34_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/083/SRR19064483/SRR19064483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/083/SRR19064483/SRR19064483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/083/SRR19064483	DP524		
SRR19064484	SAMN28062254	SRX15135632	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP523	DP523_UAB832_S33_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064484/SRR19064484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064484/SRR19064484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/084/SRR19064484	DP523		
SRR19064492	SAMN28062247	SRX15135624	PRJNA834801	408170	human gut metagenome	PRJNA834801	DP511	DP511_UAB832_S26_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064492/SRR19064492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064492/SRR19064492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR190/092/SRR19064492	DP511		
